Customer ID,Customer Name,Age,Gender,City,Product ID (ref),Product Name,Brand,Shopping App,Quantity,Unit Selling Price,Total Amount Paid,Purchase Date,Payment Method,Order Status,Customer Rating
CUST00001,Rohan Patel,43,Other,Mumbai,64,H&M Women Solid Kurta,H&M,Ajio,1,486.115,486.12,07-04-2025,Debit Card,Returned,1
CUST00002,Simran Reddy,20,Male,Kolkata,1031,Nike Unisex Ripped Jacket,Nike,Flipkart,1,198.228,198.23,03-04-2025,Cash on Delivery,Delivered,1
CUST00003,Ayaan Iyer,55,Male,Lucknow,939,Allen Solly Kids Ripped Hoodie,Allen Solly,Nykaa Fashion,1,398.496,398.5,15-08-2025,UPI,Returned,3
CUST00004,Anika Chopra,27,Other,Delhi,365,Biba Kids Solid Track Pants,Biba,Snapdeal,1,466.902,466.9,05-07-2025,UPI,Returned,4
CUST00005,Pooja Singh,53,Other,Delhi,613,Levi's Kids Cotton Kurta,Levi's,Meesho,1,374.648,374.65,30-07-2025,Net Banking,Cancelled,
CUST00006,Rahul Mehta,47,Other,Chandigarh,47,Van Heusen Women Casual Shirt,Van Heusen,Ajio,1,431.681,431.68,12-09-2025,Credit Card,Cancelled,4
CUST00007,Sai Pillai,37,Other,Ahmedabad,409,Reebok Men Oversized Jacket,Reebok,Snapdeal,3,2156.24,6468.72,05-04-2026,Debit Card,Returned,2
CUST00008,Ayaan Bansal,44,Male,Indore,602,Forever 21 Women Solid Blazer,Forever 21,Nykaa Fashion,1,305.344,305.34,08-03-2026,UPI,Cancelled,2
CUST00009,Rohan Mehta,40,Other,Ahmedabad,424,Van Heusen Unisex Classic Dress,Van Heusen,Myntra,1,437.68,437.68,12-03-2025,UPI,Delivered,5
CUST00010,Arjun Verma,37,Other,Lucknow,377,Puma Unisex Striped Co-ord Set,Puma,Nykaa Fashion,2,1142.748,2285.5,19-10-2025,Wallet,Delivered,5
CUST00011,Vivaan Malhotra,40,Male,Lucknow,71,Allen Solly Men Ripped Dress,Allen Solly,Tata CLiQ,1,292.896,292.9,12-08-2025,Debit Card,Delivered,4
CUST00012,Sanya Rao,49,Male,Bengaluru,259,Zara Unisex Striped Jacket,Zara,Ajio,1,301.294,301.29,12-10-2025,Credit Card,Shipped,5
CUST00013,Kiara Chopra,40,Other,Chandigarh,615,Puma Unisex Denim Sweater,Puma,Myntra,1,269.588,269.59,04-06-2025,UPI,Delivered,3
CUST00014,Aadhya Iyer,18,Female,Bhopal,187,Zara Women Classic Blazer,Zara,Nykaa Fashion,1,415.3695,415.37,16-10-2025,UPI,Delivered,5
CUST00015,Divya Joshi,54,Female,Bengaluru,917,Roadster Unisex Regular Fit Co-ord Set,Roadster,Amazon,1,345.683,345.68,25-02-2025,Net Banking,Shipped,
CUST00016,Sanya Rao,43,Female,Delhi,383,Puma Women Regular Fit Shorts,Puma,Snapdeal,1,371.61,371.61,05-03-2025,Credit Card,Delivered,4
CUST00017,Sneha Kumar,25,Female,Lucknow,599,Allen Solly Unisex Oversized Dress,Allen Solly,Myntra,1,359.478,359.48,04-06-2025,Cash on Delivery,Delivered,5
CUST00018,Vivaan Gupta,31,Other,Kolkata,77,Allen Solly Men Printed Sweater,Allen Solly,Meesho,1,320.04,320.04,22-12-2025,Cash on Delivery,Delivered,5
CUST00019,Ayaan Singh,49,Female,Ahmedabad,31,W Unisex Relaxed Fit T-Shirt,W,Myntra,1,409.2725,409.27,28-05-2025,UPI,Cancelled,5
CUST00020,Sara Kapoor,28,Other,Mumbai,77,Allen Solly Men Printed Sweater,Allen Solly,Meesho,1,320.04,320.04,06-01-2026,Credit Card,Cancelled,
CUST00021,Vivaan Bansal,37,Other,Bhopal,823,Puma Kids Denim Co-ord Set,Puma,Flipkart,2,171.78,343.56,25-09-2025,Cash on Delivery,Delivered,3
CUST00022,Neha Iyer,52,Other,Indore,71,Allen Solly Men Ripped Dress,Allen Solly,Tata CLiQ,1,292.896,292.9,17-08-2025,Cash on Delivery,Shipped,4
CUST00023,Myra Rao,32,Male,Jaipur,205,Biba Men Graphic Dress,Biba,Snapdeal,1,381.03,381.03,30-01-2025,UPI,Shipped,4
CUST00024,Meera Nair,30,Other,Lucknow,462,Forever 21 Unisex Denim Skirt,Forever 21,Amazon,2,699.32,1398.64,24-12-2025,Debit Card,Delivered,4
CUST00025,Reyansh Iyer,48,Male,Chennai,638,Roadster Men Formal Blazer,Roadster,Nykaa Fashion,1,285.455,285.45,02-01-2025,Net Banking,Cancelled,5
CUST00026,Sai Singh,42,Other,Indore,522,Nike Women Ripped Skirt,Nike,Flipkart,1,295.58,295.58,21-03-2026,Wallet,Delivered,2
CUST00027,Sanya Malhotra,43,Other,Delhi,726,Biba Women Ripped Hoodie,Biba,Nykaa Fashion,1,411.654,411.65,11-05-2025,UPI,Delivered,5
CUST00028,Ishaan Shah,48,Other,Chandigarh,688,Biba Women Relaxed Fit Kurta,Biba,Myntra,1,360.716,360.72,15-05-2025,UPI,Delivered,2
CUST00029,Yash Patel,45,Male,Bhopal,244,Zara Unisex Formal Trousers,Zara,Meesho,1,1403.2,1403.2,15-09-2025,Credit Card,Delivered,
CUST00030,Myra Pillai,38,Female,Jaipur,31,W Unisex Relaxed Fit T-Shirt,W,Myntra,1,409.2725,409.27,04-03-2025,Wallet,Delivered,5
CUST00031,Yash Chopra,50,Male,Jaipur,181,Biba Kids Cotton Jeans,Biba,Meesho,1,386.288,386.29,20-01-2025,Net Banking,Shipped,3
CUST00032,Aarav Patel,29,Male,Ahmedabad,106,Biba Kids Slim Fit Blazer,Biba,Snapdeal,1,389.004,389,05-03-2025,Debit Card,Cancelled,
CUST00033,Yash Agarwal,48,Male,Chandigarh,613,Levi's Kids Cotton Kurta,Levi's,Meesho,1,374.648,374.65,15-07-2025,Debit Card,Delivered,2
CUST00034,Simran Malhotra,53,Male,Indore,188,Levi's Men Ripped Saree,Levi's,Nykaa Fashion,1,706.347,706.35,30-03-2026,Debit Card,Returned,
CUST00035,Simran Reddy,35,Female,Jaipur,49,Levi's Women Casual Co-ord Set,Levi's,Nykaa Fashion,1,287.49,287.49,04-06-2026,Credit Card,Cancelled,
CUST00036,Sara Agarwal,30,Female,Bengaluru,751,Tommy Hilfiger Unisex Casual Saree,Tommy Hilfiger,Ajio,1,277.795,277.8,29-03-2026,Debit Card,Delivered,4
CUST00037,Rahul Gupta,31,Other,Hyderabad,202,Biba Kids Ripped Hoodie,Biba,Nykaa Fashion,2,226.984,453.97,08-06-2025,Wallet,Cancelled,5
CUST00038,Ishaan Nair,26,Female,Pune,633,Calvin Klein Kids Striped Shirt,Calvin Klein,Snapdeal,1,399.9,399.9,12-02-2026,Net Banking,Delivered,4
CUST00039,Ananya Chopra,50,Female,Chennai,1046,Calvin Klein Women Relaxed Fit Kurta,Calvin Klein,Nykaa Fashion,1,350.608,350.61,23-11-2025,UPI,Cancelled,5
CUST00040,Vivaan Mehta,53,Female,Ahmedabad,823,Puma Kids Denim Co-ord Set,Puma,Flipkart,1,171.78,171.78,06-12-2025,Cash on Delivery,Returned,4
CUST00041,Simran Gupta,25,Male,Chandigarh,424,Van Heusen Unisex Classic Dress,Van Heusen,Myntra,1,437.68,437.68,06-10-2025,UPI,Shipped,3
CUST00042,Kiara Patel,45,Other,Bhopal,551,Nike Kids Graphic Co-ord Set,Nike,Snapdeal,2,2102.74,4205.48,02-06-2025,Cash on Delivery,Returned,5
CUST00043,Rohan Gupta,35,Male,Indore,197,Biba Kids Slim Fit Skirt,Biba,Tata CLiQ,1,419.482,419.48,16-03-2025,Debit Card,Delivered,2
CUST00044,Sara Gupta,32,Male,Hyderabad,183,Levi's Men Graphic Skirt,Levi's,Meesho,2,2215.205,4430.41,12-01-2025,Debit Card,Returned,5
CUST00045,Kiara Shah,26,Male,Jaipur,1021,Zara Men Oversized Kurta,Zara,Myntra,1,493.165,493.17,15-06-2025,Debit Card,Delivered,3
CUST00046,Priya Das,37,Other,Indore,187,Zara Women Classic Blazer,Zara,Nykaa Fashion,1,415.3695,415.37,28-05-2026,Wallet,Delivered,4
CUST00047,Neha Sharma,34,Male,Mumbai,295,Nike Unisex Relaxed Fit Skirt,Nike,Nykaa Fashion,1,191.144,191.14,14-07-2025,Cash on Delivery,Delivered,4
CUST00048,Sneha Singh,45,Other,Ahmedabad,1021,Zara Men Oversized Kurta,Zara,Myntra,1,493.165,493.17,03-06-2026,Debit Card,Cancelled,4
CUST00049,Aadhya Mehta,30,Other,Nagpur,181,Biba Kids Cotton Jeans,Biba,Meesho,1,386.288,386.29,22-12-2025,UPI,Shipped,3
CUST00050,Aarav Gupta,34,Female,Bengaluru,1046,Calvin Klein Women Relaxed Fit Kurta,Calvin Klein,Nykaa Fashion,1,350.608,350.61,26-01-2026,Cash on Delivery,Cancelled,4
CUST00051,Myra Das,20,Female,Bengaluru,633,Calvin Klein Kids Striped Shirt,Calvin Klein,Snapdeal,1,399.9,399.9,04-01-2025,Debit Card,Delivered,5
CUST00052,Rohan Iyer,20,Female,Pune,1046,Calvin Klein Women Relaxed Fit Kurta,Calvin Klein,Nykaa Fashion,1,350.608,350.61,10-12-2025,Net Banking,Delivered,5
CUST00053,Kiara Bansal,30,Male,Jaipur,197,Biba Kids Slim Fit Skirt,Biba,Tata CLiQ,1,419.482,419.48,28-09-2025,UPI,Delivered,5
CUST00054,Aditya Rao,19,Female,Hyderabad,633,Calvin Klein Kids Striped Shirt,Calvin Klein,Snapdeal,1,399.9,399.9,26-06-2026,Credit Card,Cancelled,5
CUST00055,Rohan Kapoor,27,Female,Nagpur,587,Calvin Klein Unisex Printed Shirt,Calvin Klein,Meesho,1,465.728,465.73,14-02-2025,Wallet,Returned,5
CUST00056,Simran Patel,51,Other,Lucknow,742,Tommy Hilfiger Men Oversized Trousers,Tommy Hilfiger,Meesho,1,4433.157,4433.16,24-08-2025,UPI,Delivered,1
CUST00057,Krishna Joshi,24,Female,Bhopal,503,Forever 21 Unisex Solid Hoodie,Forever 21,Myntra,1,366.912,366.91,20-01-2025,Wallet,Returned,4
CUST00058,Nikhil Nair,18,Female,Indore,77,Allen Solly Men Printed Sweater,Allen Solly,Meesho,1,320.04,320.04,05-04-2025,Wallet,Returned,2
CUST00059,Meera Nair,22,Female,Pune,240,Roadster Men Classic Shorts,Roadster,Tata CLiQ,1,473.344,473.34,25-08-2025,Wallet,Cancelled,5
CUST00060,Nikhil Rao,22,Female,Chandigarh,2,W Kids Denim Jeans,W,Myntra,2,455.6595,911.32,17-02-2025,Cash on Delivery,Cancelled,4
CUST00061,Arjun Shah,27,Female,Hyderabad,240,Roadster Men Classic Shorts,Roadster,Tata CLiQ,1,473.344,473.34,08-11-2025,Cash on Delivery,Returned,3
CUST00062,Aarav Kapoor,21,Female,Hyderabad,9,Zara Women Relaxed Fit Skirt,Zara,Amazon,1,2020.32,2020.32,11-08-2025,Wallet,Delivered,4
CUST00063,Yash Das,47,Female,Ahmedabad,1073,Levi's Women Ripped Track Pants,Levi's,Amazon,1,360.876,360.88,24-07-2025,Debit Card,Delivered,5
CUST00064,Vivaan Das,47,Male,Bhopal,184,H&M Women Oversized Jacket,H&M,Tata CLiQ,1,449.9925,449.99,03-10-2025,Net Banking,Delivered,4
